X,Y,Timestamp,ID,scalerank,featurecla,labelrank,country,sov_a3,adm0_dif,level,type,admin,adm0_a3,geou_dif,geounit,gu_a3,su_dif,subunit,su_a3,brk_diff,name,name_long,brk_a3,brk_name,brk_group,abbrev,postal,formal_en,formal_fr,note_adm0,note_brk,name_sort,name_alt,mapcolor7,mapcolor8,mapcolor9,mapcolor13,pop_est,gdp_md_est,pop_year,lastcensus,gdp_year,economy,income_grp,wikipedia,fips_10,iso_a2,iso_a3,iso_n3,un_a3,wb_a2,wb_a3,woe_id,adm0_a3_is,adm0_a3_us,adm0_a3_un,adm0_a3_wb,continent,region_un,subregion,region_wb,name_len,long_len,abbrev_len,tiny,homepart
-2.1319,53.6257,2019/01/17 21:53:21+00,UrWDgtfUZoHt,"1",Admin-0 country,2,United Kingdom,GB1,1,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,United Kingdom,GBR,United Kingdom,,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,,,,United Kingdom,,6,6,6,3,62262000,1977704,0,2011,2009,1. Developed region: G7,1. High income: OECD,,,GB,GBR,"826","826",GB,GBR,,GBR,GBR,,,Europe,Europe,Northern Europe,Europe & Central Asia,14,14,4,,1
49.1188,55.7887,2019/03/01 06:54:01+00,SMgAJfHe2XGV,"1",Admin-0 country,2,Russia,RUS,0,2,Sovereign country,Russia,RUS,0,Russia,RUS,0,Russia,RUS,0,Russia,Russian Federation,RUS,Russia,,Rus.,RUS,Russian Federation,,,,Russian Federation,,2,5,7,7,140041247,2266000,,2010,,3. Emerging region: BRIC,3. Upper middle income,,,RU,RUS,"643","643",RU,RUS,,RUS,RUS,,,Europe,Europe,Eastern Europe,Europe & Central Asia,6,18,4,,1
46.5957,54.8416,2019/03/04 07:27:51+00,hdwUZ7IQPLQe,"1",Admin-0 country,2,Russia,RUS,0,2,Sovereign country,Russia,RUS,0,Russia,RUS,0,Russia,RUS,0,Russia,Russian Federation,RUS,Russia,,Rus.,RUS,Russian Federation,,,,Russian Federation,,2,5,7,7,140041247,2266000,,2010,,3. Emerging region: BRIC,3. Upper middle income,,,RU,RUS,"643","643",RU,RUS,,RUS,RUS,,,Europe,Europe,Eastern Europe,Europe & Central Asia,6,18,4,,1
-15.4293,28.1499,2019/04/18 12:36:07+00,sjtha2grjo5Z,"1",Admin-0 country,2,Spain,ESP,0,2,Sovereign country,Spain,ESP,0,Spain,ESP,0,Spain,ESP,0,Spain,Spain,ESP,Spain,,Sp.,E,Kingdom of Spain,,,,Spain,,4,5,5,5,40525002,1403000,,2001,,2. Developed region: nonG7,1. High income: OECD,,,ES,ESP,"724","724",ES,ESP,,ESP,ESP,,,Europe,Europe,Southern Europe,Europe & Central Asia,5,5,3,,1
4.8937,52.3729,2019/04/24 11:54:09+00,CFzxo2pg4GBo,"1",Admin-0 country,5,Netherlands,NL1,1,2,Country,Netherlands,NLD,0,Netherlands,NLD,0,Netherlands,NLD,0,Netherlands,Netherlands,NLD,Netherlands,,Neth.,NL,Kingdom of the Netherlands,,,,Netherlands,,4,2,2,9,16715999,672000,,2011,,2. Developed region: nonG7,1. High income: OECD,,,NL,NLD,"528","528",NL,NLD,,NLD,NLD,,,Europe,Europe,Western Europe,Europe & Central Asia,11,11,5,,1
1.3231,45.5113,2019/05/02 07:44:47+00,fJegACGJaxce,"1",Admin-0 country,2,France,FR1,1,2,Country,France,FRA,0,France,FRA,0,France,FRA,0,France,France,FRA,France,,Fr.,F,French Republic,,,,France,,7,5,9,11,64057792,2128000,,,,1. Developed region: G7,1. High income: OECD,,,FR,FRA,"250","250",FR,FRA,,FRA,FRA,,,Europe,Europe,Western Europe,Europe & Central Asia,6,6,3,,1
1.3231,45.5113,2019/05/02 07:44:47+00,FWFHBxfPITvw,"1",Admin-0 country,2,France,FR1,1,2,Country,France,FRA,0,France,FRA,0,France,FRA,0,France,France,FRA,France,,Fr.,F,French Republic,,,,France,,7,5,9,11,64057792,2128000,,,,1. Developed region: G7,1. High income: OECD,,,FR,FRA,"250","250",FR,FRA,,FRA,FRA,,,Europe,Europe,Western Europe,Europe & Central Asia,6,6,3,,1
8.9462,52.2844,2019/05/26 07:06:23+00,W00bYby6ct6A,"1",Admin-0 country,2,Germany,DEU,0,2,Sovereign country,Germany,DEU,0,Germany,DEU,0,Germany,DEU,0,Germany,Germany,DEU,Germany,,Ger.,D,Federal Republic of Germany,,,,Germany,,2,5,5,1,82329758,2918000,,2011,,1. Developed region: G7,1. High income: OECD,,,DE,DEU,"276","276",DE,DEU,,DEU,DEU,,,Europe,Europe,Western Europe,Europe & Central Asia,7,7,4,,1
8.9462,52.2844,2019/05/26 07:08:38+00,GLuWIuVGbHgN,"1",Admin-0 country,2,Germany,DEU,0,2,Sovereign country,Germany,DEU,0,Germany,DEU,0,Germany,DEU,0,Germany,Germany,DEU,Germany,,Ger.,D,Federal Republic of Germany,,,,Germany,,2,5,5,1,82329758,2918000,,2011,,1. Developed region: G7,1. High income: OECD,,,DE,DEU,"276","276",DE,DEU,,DEU,DEU,,,Europe,Europe,Western Europe,Europe & Central Asia,7,7,4,,1
-1.4539,52.8802,2019/05/27 17:09:58+00,LKEulnvXIPU1,"1",Admin-0 country,2,United Kingdom,GB1,1,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,United Kingdom,GBR,United Kingdom,,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,,,,United Kingdom,,6,6,6,3,62262000,1977704,0,2011,2009,1. Developed region: G7,1. High income: OECD,,,GB,GBR,"826","826",GB,GBR,,GBR,GBR,,,Europe,Europe,Northern Europe,Europe & Central Asia,14,14,4,,1
15.9761,45.8148,2019/05/30 16:30:38+00,vwsZiFxx62uD,"1",Admin-0 country,6,Croatia,HRV,0,2,Sovereign country,Croatia,HRV,0,Croatia,HRV,0,Croatia,HRV,0,Croatia,Croatia,HRV,Croatia,,Cro.,HR,Republic of Croatia,,,,Croatia,,5,4,5,1,4489409,82390,,2011,,2. Developed region: nonG7,2. High income: nonOECD,,,HR,HRV,"191","191",HR,HRV,,HRV,HRV,,,Europe,Europe,Southern Europe,Europe & Central Asia,7,7,4,,1
0.139,52.0926,2019/06/01 14:32:34+00,qXOnsEoMcKcq,"1",Admin-0 country,2,United Kingdom,GB1,1,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,United Kingdom,GBR,United Kingdom,,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,,,,United Kingdom,,6,6,6,3,62262000,1977704,0,2011,2009,1. Developed region: G7,1. High income: OECD,,,GB,GBR,"826","826",GB,GBR,,GBR,GBR,,,Europe,Europe,Northern Europe,Europe & Central Asia,14,14,4,,1
1.0236,52.4894,2019/06/22 12:16:56+00,nvtwyfLUsvoG,"1",Admin-0 country,2,United Kingdom,GB1,1,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,United Kingdom,GBR,United Kingdom,,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,,,,United Kingdom,,6,6,6,3,62262000,1977704,0,2011,2009,1. Developed region: G7,1. High income: OECD,,,GB,GBR,"826","826",GB,GBR,,GBR,GBR,,,Europe,Europe,Northern Europe,Europe & Central Asia,14,14,4,,1
-1.4654,52.5317,2019/06/23 11:18:37+00,RZvwqKUaoUVr,"1",Admin-0 country,2,United Kingdom,GB1,1,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,United Kingdom,GBR,United Kingdom,,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,,,,United Kingdom,,6,6,6,3,62262000,1977704,0,2011,2009,1. Developed region: G7,1. High income: OECD,,,GB,GBR,"826","826",GB,GBR,,GBR,GBR,,,Europe,Europe,Northern Europe,Europe & Central Asia,14,14,4,,1
-0.1417,51.5034,2019/06/29 16:11:42+00,oVPgIPiETita,"1",Admin-0 country,2,United Kingdom,GB1,1,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,United Kingdom,GBR,United Kingdom,,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,,,,United Kingdom,,6,6,6,3,62262000,1977704,0,2011,2009,1. Developed region: G7,1. High income: OECD,,,GB,GBR,"826","826",GB,GBR,,GBR,GBR,,,Europe,Europe,Northern Europe,Europe & Central Asia,14,14,4,,1
-0.1026,51.5149,2019/07/05 14:48:07+00,LqvhStDqYYuP,"1",Admin-0 country,2,United Kingdom,GB1,1,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,United Kingdom,GBR,United Kingdom,,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,,,,United Kingdom,,6,6,6,3,62262000,1977704,0,2011,2009,1. Developed region: G7,1. High income: OECD,,,GB,GBR,"826","826",GB,GBR,,GBR,GBR,,,Europe,Europe,Northern Europe,Europe & Central Asia,14,14,4,,1
-0.1029,51.515,2019/07/05 15:02:47+00,FJwGoARSGUIi,"1",Admin-0 country,2,United Kingdom,GB1,1,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,United Kingdom,GBR,United Kingdom,,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,,,,United Kingdom,,6,6,6,3,62262000,1977704,0,2011,2009,1. Developed region: G7,1. High income: OECD,,,GB,GBR,"826","826",GB,GBR,,GBR,GBR,,,Europe,Europe,Northern Europe,Europe & Central Asia,14,14,4,,1
-0.1331,51.5081,2019/07/06 17:25:14+00,LAAnPFSjBhSk,"1",Admin-0 country,2,United Kingdom,GB1,1,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,United Kingdom,GBR,United Kingdom,,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,,,,United Kingdom,,6,6,6,3,62262000,1977704,0,2011,2009,1. Developed region: G7,1. High income: OECD,,,GB,GBR,"826","826",GB,GBR,,GBR,GBR,,,Europe,Europe,Northern Europe,Europe & Central Asia,14,14,4,,1
0.0914,51.497,2019/07/13 18:22:31+00,1F33XB0TaHg3,"1",Admin-0 country,2,United Kingdom,GB1,1,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,United Kingdom,GBR,United Kingdom,,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,,,,United Kingdom,,6,6,6,3,62262000,1977704,0,2011,2009,1. Developed region: G7,1. High income: OECD,,,GB,GBR,"826","826",GB,GBR,,GBR,GBR,,,Europe,Europe,Northern Europe,Europe & Central Asia,14,14,4,,1
0.0915,51.497,2019/07/13 18:49:04+00,NqWWL9vld83W,"1",Admin-0 country,2,United Kingdom,GB1,1,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,United Kingdom,GBR,United Kingdom,,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,,,,United Kingdom,,6,6,6,3,62262000,1977704,0,2011,2009,1. Developed region: G7,1. High income: OECD,,,GB,GBR,"826","826",GB,GBR,,GBR,GBR,,,Europe,Europe,Northern Europe,Europe & Central Asia,14,14,4,,1
-0.1017,51.4027,2019/07/29 10:21:49+00,bImdQr70dECm,"1",Admin-0 country,2,United Kingdom,GB1,1,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,United Kingdom,GBR,United Kingdom,,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,,,,United Kingdom,,6,6,6,3,62262000,1977704,0,2011,2009,1. Developed region: G7,1. High income: OECD,,,GB,GBR,"826","826",GB,GBR,,GBR,GBR,,,Europe,Europe,Northern Europe,Europe & Central Asia,14,14,4,,1
8.9522,45.9966,2019/08/02 09:26:57+00,EVz6B9lZFBOg,"1",Admin-0 country,4,Switzerland,CHE,0,2,Sovereign country,Switzerland,CHE,0,Switzerland,CHE,0,Switzerland,CHE,0,Switzerland,Switzerland,CHE,Switzerland,,Switz.,CH,Swiss Confederation,,,,Switzerland,,5,2,7,3,7604467,316700,,2010,,2. Developed region: nonG7,1. High income: OECD,,,CH,CHE,"756","756",CH,CHE,,CHE,CHE,,,Europe,Europe,Western Europe,Europe & Central Asia,11,11,6,,1
-0.1194,51.5112,2019/08/03 16:09:24+00,P7AOWfqc7gxN,"1",Admin-0 country,2,United Kingdom,GB1,1,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,United Kingdom,GBR,United Kingdom,,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,,,,United Kingdom,,6,6,6,3,62262000,1977704,0,2011,2009,1. Developed region: G7,1. High income: OECD,,,GB,GBR,"826","826",GB,GBR,,GBR,GBR,,,Europe,Europe,Northern Europe,Europe & Central Asia,14,14,4,,1
-0.1194,51.5112,2019/08/03 16:09:24+00,ciFOWYD6sWhf,"1",Admin-0 country,2,United Kingdom,GB1,1,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,United Kingdom,GBR,United Kingdom,,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,,,,United Kingdom,,6,6,6,3,62262000,1977704,0,2011,2009,1. Developed region: G7,1. High income: OECD,,,GB,GBR,"826","826",GB,GBR,,GBR,GBR,,,Europe,Europe,Northern Europe,Europe & Central Asia,14,14,4,,1
-0.1194,51.5112,2019/08/03 16:09:24+00,eKfU49DMApbm,"1",Admin-0 country,2,United Kingdom,GB1,1,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,United Kingdom,GBR,United Kingdom,,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,,,,United Kingdom,,6,6,6,3,62262000,1977704,0,2011,2009,1. Developed region: G7,1. High income: OECD,,,GB,GBR,"826","826",GB,GBR,,GBR,GBR,,,Europe,Europe,Northern Europe,Europe & Central Asia,14,14,4,,1
-4.407,36.717,2019/08/15 09:41:30+00,thqvnkGJPGkm,"1",Admin-0 country,2,Spain,ESP,0,2,Sovereign country,Spain,ESP,0,Spain,ESP,0,Spain,ESP,0,Spain,Spain,ESP,Spain,,Sp.,E,Kingdom of Spain,,,,Spain,,4,5,5,5,40525002,1403000,,2001,,2. Developed region: nonG7,1. High income: OECD,,,ES,ESP,"724","724",ES,ESP,,ESP,ESP,,,Europe,Europe,Southern Europe,Europe & Central Asia,5,5,3,,1
-0.3253,51.5403,2019/09/09 22:53:45+00,INFhaAGZrThG,"1",Admin-0 country,2,United Kingdom,GB1,1,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,United Kingdom,GBR,United Kingdom,,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,,,,United Kingdom,,6,6,6,3,62262000,1977704,0,2011,2009,1. Developed region: G7,1. High income: OECD,,,GB,GBR,"826","826",GB,GBR,,GBR,GBR,,,Europe,Europe,Northern Europe,Europe & Central Asia,14,14,4,,1
-0.6146,49.3394,2019/09/26 07:34:03+00,iuingt4nlAnN,"1",Admin-0 country,2,France,FR1,1,2,Country,France,FRA,0,France,FRA,0,France,FRA,0,France,France,FRA,France,,Fr.,F,French Republic,,,,France,,7,5,9,11,64057792,2128000,,,,1. Developed region: G7,1. High income: OECD,,,FR,FRA,"250","250",FR,FRA,,FRA,FRA,,,Europe,Europe,Western Europe,Europe & Central Asia,6,6,3,,1
-0.1514,51.5023,2019/09/27 16:45:52+00,E0ZDBuP2h1OK,"1",Admin-0 country,2,United Kingdom,GB1,1,2,Country,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,GBR,0,United Kingdom,United Kingdom,GBR,United Kingdom,,U.K.,GB,United Kingdom of Great Britain and Northern Ireland,,,,United Kingdom,,6,6,6,3,62262000,1977704,0,2011,2009,1. Developed region: G7,1. High income: OECD,,,GB,GBR,"826","826",GB,GBR,,GBR,GBR,,,Europe,Europe,Northern Europe,Europe & Central Asia,14,14,4,,1
11.2557,43.7735,2019/09/28 14:24:30+00,GGYOiDMjczj4,"1",Admin-0 country,2,Italy,ITA,0,2,Sovereign country,Italy,ITA,0,Italy,ITA,0,Italy,ITA,0,Italy,Italy,ITA,Italy,,Italy,I,Italian Republic,,,,Italy,,6,7,8,7,58126212,1823000,,2012,,1. Developed region: G7,1. High income: OECD,,,IT,ITA,"380","380",IT,ITA,,ITA,ITA,,,Europe,Europe,Southern Europe,Europe & Central Asia,5,5,5,,1
